,property_type,sector,price,bedRoom,bathroom,balcony,floorNum,agePossession,built_up_area,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score
803,flat,sector 99,0.4,2.0,2.0,2,Medium Floor,New Property,786.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
804,flat,sector 112,0.7,2.0,2.0,2,Medium Floor,Relatively New,1498.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
805,house,sector 3,0.55,1.0,1.0,0, Low Floor,Old Property,750.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
806,house,sector 7,2.0,2.0,2.0,2, Low Floor,Old Property,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
807,house,sector 4,0.8,2.0,3.0,1, Low Floor,Moderately Old,675.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
808,flat,sector 2,0.2,1.0,1.0,1, Low Floor,Moderately Old,649.0,0.0,0.0,0.0,0.0,1.0,0.0,Low
809,house,sector 109,6.0,4.0,5.0,3, Low Floor,Moderately Old,6228.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
810,flat,sector 85,0.88,3.0,3.0,1, Low Floor,Relatively New,1336.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
811,flat,sector 102,1.4,3.0,3.0,3,Medium Floor,Relatively New,1406.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium
812,flat,sector 108,3.35,3.0,4.0,2,High Floor,New Property,2525.0,0.0,0.0,0.0,0.0,0.0,0.0,High
813,flat,sector 102,1.76,3.0,3.0,3, Low Floor,Relatively New,1522.0,0.0,0.0,0.0,0.0,0.0,0.0,High
814,flat,sector 99,0.85,2.0,2.0,2,Medium Floor,New Property,1126.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
815,flat,sector 4,0.42,2.0,2.0,1,Medium Floor,Relatively New,974.0,0.0,0.0,0.0,0.0,0.0,1.0,Low
816,house,sector 7,1.55,2.0,2.0,2, Low Floor,Moderately Old,1080.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium
817,flat,sector 86,0.78,2.0,2.0,1,Medium Floor,New Property,1223.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
818,flat,sector 33,1.1,2.0,2.0,2,Medium Floor,Under Construction,1275.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
819,flat,sector 69,1.42,3.0,3.0,2,Medium Floor,Relatively New,1419.0,0.0,0.0,0.0,1.0,0.0,1.0,High
820,flat,sector 108,0.7,2.0,2.0,2,High Floor,Moderately Old,1354.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
821,flat,sector 38,2.1,4.0,4.0,3+,Medium Floor,Old Property,2283.0,0.0,0.0,0.0,0.0,0.0,2.0,Low
822,flat,sector 92,0.95,4.0,3.0,2,High Floor,New Property,1983.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
823,flat,sector 33,3.25,4.0,4.0,3+,High Floor,Old Property,5618.0,0.0,1.0,0.0,0.0,0.0,1.0,High
824,flat,sector 56,1.7,3.0,3.0,3,Medium Floor,Moderately Old,2200.0,1.0,0.0,0.0,0.0,0.0,0.0,Low
825,flat,sector 88a,1.19,2.0,2.0,3,High Floor,Relatively New,1492.0,1.0,0.0,0.0,1.0,0.0,1.0,High
826,house,sector 23,1.2,3.0,2.0,2,Medium Floor,New Property,1500.0,0.0,0.0,0.0,0.0,0.0,1.0,Medium
827,flat,sector 102,1.4,2.0,2.0,2,High Floor,New Property,1256.0,0.0,0.0,0.0,0.0,0.0,1.0,Low
828,flat,sector 48,1.76,3.0,3.0,3+,Medium Floor,Moderately Old,1576.0,0.0,1.0,0.0,1.0,0.0,1.0,High
829,flat,sector 86,1.45,3.0,2.0,3,Medium Floor,Relatively New,1480.0,0.0,0.0,0.0,0.0,0.0,2.0,Medium
830,flat,sector 69,1.4,3.0,3.0,2,Medium Floor,Relatively New,1419.0,0.0,0.0,0.0,1.0,0.0,0.0,High
831,flat,sector 62,7.15,4.0,5.0,3+,Medium Floor,Relatively New,3901.0,1.0,1.0,1.0,0.0,0.0,1.0,High
832,flat,sector 67,2.72,4.0,4.0,3+, Low Floor,Relatively New,2250.0,0.0,1.0,0.0,1.0,0.0,1.0,High
833,flat,sector 93,0.4,2.0,2.0,2,High Floor,New Property,706.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
834,flat,sector 70a,1.1,2.0,2.0,3+,Medium Floor,New Property,1304.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
835,flat,sector 70a,1.34,2.0,2.0,3+,High Floor,New Property,1173.0,0.0,0.0,0.0,0.0,0.0,1.0,High
836,flat,sohna road,0.95,2.0,2.0,3+,Medium Floor,Under Construction,1050.0,1.0,0.0,0.0,0.0,1.0,0.0,Medium
837,flat,sector 112,5.6,4.0,6.0,3+,High Floor,Moderately Old,3662.34,0.0,1.0,0.0,0.0,0.0,1.0,High
838,flat,sector 91,0.96,2.0,2.0,3+,Medium Floor,Moderately Old,1263.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
839,flat,sector 81,2.34,3.0,4.0,3+,High Floor,Relatively New,1760.0,0.0,1.0,0.0,0.0,0.0,2.0,High
840,flat,sector 43,3.25,4.0,4.0,3+,High Floor,Moderately Old,3386.0,0.0,0.0,0.0,1.0,0.0,1.0,High
841,flat,sector 77,1.25,3.0,4.0,3,Medium Floor,Relatively New,1416.0,1.0,1.0,0.0,0.0,0.0,0.0,Low
842,flat,sector 61,1.47,2.0,2.0,2, Low Floor,Under Construction,1558.0,1.0,0.0,0.0,0.0,0.0,0.0,Medium
843,house,sector 36,0.75,3.0,1.0,0, Low Floor,New Property,1081.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
844,flat,sector 2,0.98,2.0,2.0,3,High Floor,Moderately Old,1408.0,1.0,0.0,0.0,0.0,0.0,0.0,Medium
845,flat,sector 69,1.66,3.0,3.0,2, Low Floor,Relatively New,1473.0,0.0,0.0,0.0,0.0,0.0,0.0,High
846,flat,sector 56,0.52,1.0,1.0,1, Low Floor,Old Property,472.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
847,flat,sohna road,0.66,2.0,2.0,3,High Floor,Relatively New,1042.0,0.0,0.0,0.0,1.0,0.0,0.0,Low
848,house,sector 12,0.7,4.0,4.0,1, Low Floor,Moderately Old,1700.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
849,house,sector 2,9.0,5.0,5.0,2, Low Floor,Old Property,4680.0,1.0,1.0,1.0,1.0,0.0,2.0,High
850,flat,sector 85,1.2,2.0,2.0,3+, Low Floor,Relatively New,1483.0,0.0,0.0,1.0,0.0,0.0,0.0,High
851,flat,sector 36,0.36,1.0,1.0,1,Medium Floor,Relatively New,444.0,0.0,0.0,0.0,0.0,0.0,0.0,High
852,house,sector 5,3.5,6.0,5.0,2,Medium Floor,Old Property,2250.0,1.0,1.0,0.0,1.0,1.0,2.0,High
853,flat,sector 67,2.35,3.0,4.0,3+,High Floor,Moderately Old,1741.0,0.0,1.0,0.0,0.0,0.0,1.0,High
854,flat,sector 70a,1.51,3.0,3.0,3,Medium Floor,Relatively New,1777.0,0.0,1.0,0.0,0.0,0.0,0.0,Low
855,flat,sector 83,0.85,2.0,2.0,2,High Floor,Moderately Old,1100.0,0.0,0.0,0.0,1.0,0.0,1.0,High
856,flat,sector 85,1.05,2.0,2.0,1,High Floor,Under Construction,97.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
857,flat,sector 72,1.9,3.0,3.0,3,Medium Floor,Moderately Old,1777.0,0.0,1.0,0.0,0.0,0.0,1.0,Low
858,flat,sector 89,1.32,3.0,3.0,3, Low Floor,Under Construction,1013.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
859,flat,sector 106,0.88,2.0,2.0,3+, Low Floor,Relatively New,940.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
860,flat,sector 103,0.3,1.0,2.0,2,Medium Floor,New Property,470.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
861,flat,sector 37d,1.5,3.0,2.0,3+,High Floor,Relatively New,1367.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
862,flat,sector 109,1.75,3.0,3.0,3,Medium Floor,Relatively New,1550.0,0.0,0.0,0.0,1.0,0.0,1.0,Low
863,flat,sector 37,0.9,3.0,3.0,3,Medium Floor,Relatively New,1435.0,0.0,0.0,0.0,0.0,0.0,0.0,Medium
864,flat,sector 67,3.0,3.0,3.0,3+,Medium Floor,Relatively New,2047.0,0.0,0.0,1.0,0.0,0.0,1.0,High
865,flat,sohna road,0.28,2.0,2.0,2,High Floor,New Property,585.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
866,flat,sohna road,0.56,2.0,2.0,3,Medium Floor,New Property,1067.0,0.0,0.0,0.0,0.0,0.0,0.0,High
867,house,sector 12,3.71,3.0,3.0,1,Medium Floor,Moderately Old,1872.0,0.0,0.0,0.0,1.0,0.0,0.0,Low
868,flat,sector 113,2.85,3.0,3.0,3+,Medium Floor,New Property,2217.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium
869,flat,sector 37,1.25,3.0,3.0,3, Low Floor,Relatively New,1689.0,1.0,0.0,0.0,0.0,0.0,0.0,Low
870,flat,sector 104,2.0,3.0,4.0,3+,Medium Floor,Relatively New,2060.0,0.0,1.0,0.0,0.0,0.0,0.0,Medium
871,flat,sector 107,0.35,2.0,2.0,2,Medium Floor,Relatively New,710.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
872,flat,sector 109,2.15,3.0,4.0,3,Medium Floor,Relatively New,1885.0,0.0,1.0,0.0,0.0,0.0,0.0,High
873,flat,sector 77,1.64,4.0,3.0,3,Medium Floor,Relatively New,1754.0,0.0,1.0,0.0,0.0,0.0,0.0,High
874,house,sector 4,0.85,3.0,3.0,0, Low Floor,Moderately Old,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
875,flat,sector 47,2.4,3.0,3.0,0, Low Floor,Moderately Old,3116.0,0.0,0.0,0.0,0.0,0.0,1.0,Low
876,house,sector 13,4.5,4.0,5.0,2, Low Floor,Old Property,4950.0,0.0,0.0,0.0,0.0,0.0,0.0,Low
877,flat,sector 95,0.43,2.0,2.0,2,Medium Floor,Relatively New,1300.0,0.0,0.0,0.0,0.0,0.0,0.0,High
878,flat,sector 102,1.38,3.0,3.0,3,Medium Floor,Relatively New,1406.0,0.0,1.0,0.0,0.0,0.0,1.0,High
879,flat,sector 71,1.35,4.0,4.0,3,Medium Floor,Moderately Old,2114.0,0.0,1.0,0.0,0.0,0.0,0.0,Low
