property_type,sector,price,bedRoom,bathroom,balcony,agePossession,built_up_area,servant room,store room,furnishing_type,luxury_score,price_per_sqft,bath_bed_ratio,price_log
flat,sector 89,0.25,1.0,1.0,1,New Property,430.0,0.0,0.0,unfurnished,Medium,0.0005813953488372093,1.0,0.22314355131420974
house,sector 4,0.67,3.0,2.0,1,Moderately Old,783.0,0.0,0.0,unfurnished,Low,0.000855683269476373,0.6666666666666666,0.5128236264286637
flat,sector 2,0.56,1.0,1.0,2,Moderately Old,845.0,0.0,0.0,unfurnished,Medium,0.0006627218934911243,1.0,0.4446858212614457
flat,sector 70a,1.75,3.0,4.0,3+,Relatively New,1706.0,0.0,0.0,furnished,Low,0.0010257913247362252,1.3333333333333333,1.0116009116784799
house,sector 14,4.15,5.0,4.0,2,Old Property,2250.0,0.0,0.0,semiunfurnished,Medium,0.0018444444444444446,0.8,1.6389967146756448
flat,sector 67,3.4,3.0,4.0,3,Relatively New,2121.0,1.0,0.0,semiunfurnished,High,0.001603017444601603,1.3333333333333333,1.4816045409242153
flat,sector 89,0.95,2.0,2.0,2,New Property,1432.0,1.0,0.0,unfurnished,Low,0.0006634078212290502,1.0,0.6678293725756554
flat,sector 81,2.3,3.0,3.0,3+,Relatively New,1617.0,1.0,0.0,furnished,Low,0.0014223871366728508,1.0,1.1939224684724343
flat,sector 95,0.32,2.0,2.0,1,Relatively New,713.0,0.0,0.0,semiunfurnished,Medium,0.0004488078541374474,1.0,0.27763173659827944
flat,sector 102,0.45,1.0,1.0,2,Relatively New,750.0,0.0,0.0,unfurnished,Low,0.0006000000000000001,1.0,0.37156355643248307
flat,sector 109,1.5,3.0,4.0,3+,Relatively New,1797.0,1.0,0.0,unfurnished,Low,0.0008347245409015025,1.3333333333333333,0.916290731874155
house,sector 41,2.65,3.0,3.0,3,New Property,1400.0,1.0,0.0,semiunfurnished,Low,0.0018928571428571427,1.0,1.2947271675944
house,sector 3,1.5,7.0,2.0,0,Old Property,1980.0,0.0,0.0,unfurnished,Low,0.0007575757575757576,0.2857142857142857,0.916290731874155
flat,sector 86,1.5,3.0,3.0,1,Relatively New,1709.0,0.0,0.0,unfurnished,Low,0.0008777062609713282,1.0,0.916290731874155
flat,sector 83,1.19,2.0,2.0,3,Relatively New,1630.0,0.0,0.0,unfurnished,Low,0.0007300613496932515,1.0,0.7839015438284094
flat,sector 107,0.5,3.0,2.0,2,Relatively New,850.0,0.0,0.0,unfurnished,Low,0.000588235294117647,0.6666666666666666,0.4054651081081644
